"der Hund, -e",Der Hund spielt im Garten.,dog,The dog is playing in the garden.
"die Katze, -n",Die Katze schläft auf dem Sofa.,cat,The cat is sleeping on the sofa.
"das Pferd, -e",Das Pferd läuft schnell.,horse,The horse runs fast.
"die Kuh, -ü, e",Die Kuh steht auf der Weide.,cow,The cow is standing in the pasture.
"das Schwein, -e",Das Schwein ist im Stall.,pig,The pig is in the barn.
"das Schaf, -e",Das Schaf frisst Gras.,sheep,The sheep is eating grass.
"die Ziege, -n",Die Ziege klettert auf den Felsen.,goat,The goat climbs onto the rock.
"das Huhn, -ü, er",Das Huhn legt ein Ei.,chicken,The chicken lays an egg.
"der Hahn, -ä, e",Der Hahn kräht am Morgen.,rooster,The rooster crows in the morning.
"die Ente, -n",Die Ente schwimmt im Teich.,duck,The duck is swimming in the pond.
"die Gans, -ä, e",Die Gans fliegt nach Süden.,goose,The goose flies south.
"der Vogel, -ö, el",Ein Vogel sitzt im Baum.,bird,A bird is sitting in the tree.
"der Fisch, -e",Der Fisch schwimmt im See.,fish,The fish is swimming in the lake.
"der Löwe, -n",Der Löwe lebt in Afrika.,lion,The lion lives in Africa.
"der Tiger, –",Der Tiger hat Streifen.,tiger,The tiger has stripes.
"der Bär, -en",Der Bär frisst Honig.,bear,The bear eats honey.
"der Wolf, -ö, e",Der Wolf heult im Wald.,wolf,The wolf howls in the forest.
"der Fuchs, -ü, e",Der Fuchs ist sehr schlau.,fox,The fox is very clever.
"der Hase, -n",Der Hase läuft schnell.,hare,The hare runs fast.
"das Kaninchen, –",Das Kaninchen hoppelt im Garten.,rabbit,The rabbit hops in the garden.
"die Maus, -ä, e",Die Maus versteckt sich.,mouse,The mouse is hiding.
"die Ratte, -n",Die Ratte lebt im Keller.,rat,The rat lives in the basement.
"der Hirsch, -e",Der Hirsch hat große Geweihe.,stag,The stag has large antlers.
"das Reh, -e",Das Reh steht im Wald.,deer,The deer is standing in the forest.
"das Wildschwein, -e",Das Wildschwein sucht Futter.,wild boar,The wild boar searches for food.
"der Elefant, -en",Der Elefant ist sehr groß.,elephant,The elephant is very big.
"die Giraffe, -n",Die Giraffe hat einen langen Hals.,giraffe,The giraffe has a long neck.
"das Zebra, -s",Das Zebra hat Streifen.,zebra,The zebra has stripes.
"das Kamel, -e",Das Kamel lebt in der Wüste.,camel,The camel lives in the desert.
"der Affe, -n",Der Affe klettert auf den Baum.,monkey,The monkey climbs the tree.
"der Gorilla, -s",Der Gorilla ist sehr stark.,gorilla,The gorilla is very strong.
"der Panda, -s",Der Panda frisst Bambus.,panda,The panda eats bamboo.
"das Känguru, -s",Das Känguru springt hoch.,kangaroo,The kangaroo jumps high.
"der Leopard, -en",Der Leopard läuft schnell.,leopard,The leopard runs fast.
"der Gepard, -en",Der Gepard ist sehr schnell.,cheetah,The cheetah is very fast.
"die Schlange, -n",Die Schlange kriecht über den Boden.,snake,The snake crawls over the ground.
"das Krokodil, -e",Das Krokodil schwimmt im Fluss.,crocodile,The crocodile swims in the river.
"die Schildkröte, -n",Die Schildkröte ist langsam.,tortoise,The tortoise is slow.
"der Frosch, -ö, e",Der Frosch springt ins Wasser.,frog,The frog jumps into the water.
"die Biene, -n",Die Biene sammelt Honig.,bee,The bee collects honey.
"der Adler, –",Der Adler kreist am Himmel.,eagle,The eagle circles in the sky.
"die Eule, -n",Die Eule jagt nachts.,owl,The owl hunts at night.
"der Spatz, -en",Der Spatz sitzt auf dem Dach.,sparrow,The sparrow sits on the roof.
"die Taube, -n",Die Taube sitzt auf dem Balkon.,pigeon,The pigeon sits on the balcony.
"die Krähe, -n",Die Krähe ist schwarz.,crow,The crow is black.
"der Rabe, -n",Der Rabe ist intelligent.,raven,The raven is intelligent.
"der Pinguin, -e",Der Pinguin lebt in der Antarktis.,penguin,The penguin lives in Antarctica.
"der Delfin, -e",Der Delfin springt aus dem Wasser.,dolphin,The dolphin jumps out of the water.
"der Wal, -e",Der Wal ist ein großes Tier.,whale,The whale is a large animal.
"der Hai, -e",Der Hai schwimmt im Ozean.,shark,The shark swims in the ocean.
"der Igel, –",Der Igel rollt sich ein.,hedgehog,The hedgehog curls up.
"der Dachs, -e",Der Dachs lebt im Bau.,badger,The badger lives in a burrow.
"der Maulwurf, -ü, e",Der Maulwurf gräbt im Garten.,mole,The mole digs in the garden.
"der Waschbär, -en",Der Waschbär sucht im Müll.,raccoon,The raccoon searches in the trash.
"der Otter, –",Der Otter schwimmt im Fluss.,otter,The otter swims in the river.
"der Elch, -e",Der Elch lebt im Norden.,moose,The moose lives in the north.
"der Büffel, –",Der Büffel ist stark.,buffalo,The buffalo is strong.
"der Esel, –",Der Esel trägt schwere Lasten.,donkey,The donkey carries heavy loads.
"das Lama, -s",Das Lama spuckt.,llama,The llama spits.
"der Truthahn, -ä, e",Der Truthahn läuft im Hof.,turkey,The turkey walks in the yard.
"der Papagei, -en",Der Papagei spricht.,parrot,The parrot talks.
"der Pfau, -en",Der Pfau zeigt seine Federn.,peacock,The peacock shows its feathers.
"die Möwe, -n",Die Möwe fliegt am Meer.,seagull,The seagull flies by the sea.
"der Flamingo, -s",Der Flamingo steht im Wasser.,flamingo,The flamingo stands in the water.
"der Pelikan, -e",Der Pelikan hat einen großen Schnabel.,pelican,The pelican has a large beak.
"der Uhu, -s",Der Uhu ist eine große Eule.,eagle owl,The eagle owl is a large owl.
"die Elster, -n",Die Elster sammelt glänzende Dinge.,magpie,The magpie collects shiny things.
"der Falke, -n",Der Falke jagt kleine Tiere.,falcon,The falcon hunts small animals.
"der Kranich, -e",Der Kranich fliegt in Gruppen.,crane,The crane flies in groups.
"die Libelle, -n",Die Libelle fliegt über den Teich.,dragonfly,The dragonfly flies over the pond.
"der Aal, -e",Der Aal lebt im Wasser.,eel,The eel lives in the water.
"der Lachs, -e",Der Lachs schwimmt flussaufwärts.,salmon,The salmon swims upstream.
"die Forelle, -n",Die Forelle lebt im klaren Wasser.,trout,The trout lives in clear water.
"der Hering, -e",Der Hering ist ein Fisch.,herring,The herring is a fish.
"der Seestern, -e",Der Seestern liegt am Strand.,starfish,The starfish lies on the beach.
"die Qualle, -n",Die Qualle treibt im Wasser.,jellyfish,The jellyfish drifts in the water.
"der Tintenfisch, -e",Der Tintenfisch hat acht Arme.,octopus,The octopus has eight arms.
"die Robbe, -n",Die Robbe liegt auf dem Eis.,seal,The seal lies on the ice.
"der Seelöwe, -n",Der Seelöwe bellt laut.,sea lion,The sea lion barks loudly.
"der Fink, -en",Der Fink singt schön.,finch,The finch sings beautifully.
"die Ameise, -n",Die Ameise trägt ein Blatt.,ant,The ant carries a leaf.
"die Spinne, -n",Die Spinne baut ein Netz.,spider,The spider builds a web.
"der Käfer, –",Der Käfer krabbelt über das Blatt.,beetle,The beetle crawls over the leaf.
"die Wespe, -n",Die Wespe ist lästig.,wasp,The wasp is annoying.
"die Mücke, -n",Die Mücke sticht mich.,mosquito,The mosquito bites me.
"die Fliege, -n",Die Fliege sitzt am Fenster.,fly,The fly sits on the window.
"der Schmetterling, -e",Der Schmetterling fliegt im Garten.,butterfly,The butterfly flies in the garden.
"der Hamster, –",Der Hamster schläft tagsüber.,hamster,The hamster sleeps during the day.
"das Meerschweinchen, –",Das Meerschweinchen frisst Karotten.,guinea pig,The guinea pig eats carrots.
"der Koala, -s",Der Koala schläft im Baum.,koala,The koala sleeps in the tree.