"der Kopf, -ö, e",Mein Kopf tut weh.,head,My head hurts.
"das Haar, -e",Sie hat lange Haare.,hair,She has long hair.
"das Gesicht, -er",Sein Gesicht ist rot.,face,His face is red.
"das Auge, -n",Mein Auge brennt.,eye,My eye is burning.
"das Ohr, -en",Ich höre mit meinen Ohren.,ear,I hear with my ears.
"die Nase, -n",Meine Nase ist kalt.,nose,My nose is cold.
"der Mund, -ü, er",Öffne bitte den Mund.,mouth,Please open your mouth.
"der Zahn, -ä, e",Der Zahn tut weh.,tooth,The tooth hurts.
"die Zunge, -n",Die Zunge ist trocken.,tongue,The tongue is dry.
"der Hals, -ä, e",Mein Hals kratzt.,throat,My throat is scratchy.
"der Nacken, –",Mein Nacken ist verspannt.,neck (back),My neck is tense.
"die Schulter, -n",Meine Schulter schmerzt.,shoulder,My shoulder hurts.
"der Arm, -e",Er hebt den Arm.,arm,He raises his arm.
"der Ellenbogen, –",Er stößt sich den Ellenbogen.,elbow,He bumps his elbow.
"die Hand, -ä, e",Meine Hände sind kalt.,hand,My hands are cold.
"der Finger, –",Sie zeigt mit dem Finger.,finger,She points with her finger.
"der Daumen, –",Der Daumen ist verletzt.,thumb,The thumb is injured.
"der Zeigefinger, –",Er hebt den Zeigefinger.,index finger,He raises his index finger.
"der Mittelfinger, –",Der Mittelfinger ist länger.,middle finger,The middle finger is longer.
"der Ringfinger, –",Sie trägt einen Ring am Ringfinger.,ring finger,She wears a ring on her ring finger.
"der kleine Finger, –",Der kleine Finger ist gebrochen.,little finger,The little finger is broken.
"die Brust, -ü, e",Er hat Schmerzen in der Brust.,chest,He has pain in his chest.
"der Rücken, –",Mein Rücken tut weh.,back,My back hurts.
"der Bauch, -ä, e",Mein Bauch knurrt.,belly,My stomach is growling.
"der Bauchnabel, –",Das Kind zeigt seinen Bauchnabel.,belly button,The child shows his belly button.
"die Hüfte, -n",Die Hüfte schmerzt beim Gehen.,hip,The hip hurts when walking.
"das Bein, -e",Er bricht sich das Bein.,leg,He breaks his leg.
"das Knie, –",Mein Knie ist verletzt.,knee,My knee is injured.
"der Fuß, -ü, e",Mein Fuß ist eingeschlafen.,foot,My foot has fallen asleep.
"die Ferse, -n",Die Ferse tut weh.,heel,The heel hurts.
"der Zeh, -en",Ich stoße mir den Zeh.,toe,I stub my toe.
"die Haut, -ä, e",Die Haut ist sehr trocken.,skin,The skin is very dry.
"das Herz, -en",Mein Herz schlägt schnell.,heart,My heart beats fast.
"das Gehirn, -e",Das Gehirn steuert den Körper.,brain,The brain controls the body.
"die Lunge, -n",Die Lunge braucht frische Luft.,lung,The lung needs fresh air.
"die Leber, -n",Die Leber ist ein wichtiges Organ.,liver,The liver is an important organ.
"der Magen, –",Der Magen ist leer.,stomach,The stomach is empty.
"der Darm, -ä, e",Der Darm ist wichtig für die Verdauung.,intestine,The intestine is important for digestion.
"die Niere, -n",Die Niere filtert das Blut.,kidney,The kidney filters the blood.
"die Blase, -n",Die Blase ist voll.,bladder,The bladder is full.
"das Blut, –",Blut ist rot.,blood,Blood is red.
"der Muskel, –",Der Muskel ist stark.,muscle,The muscle is strong.
"der Knochen, –",Der Knochen ist gebrochen.,bone,The bone is broken.
"das Gelenk, -e",Das Gelenk ist geschwollen.,joint,The joint is swollen.
"die Stirn, -en",Er wischt sich die Stirn.,forehead,He wipes his forehead.
"die Wange, -n",Sie küsst ihn auf die Wange.,cheek,She kisses him on the cheek.
"das Kinn, -e",Er streicht sich über das Kinn.,chin,He strokes his chin.
"die Lippe, -n",Die Lippe blutet.,lip,The lip is bleeding.
"die Augenbraue, -n",Sie hebt die Augenbraue.,eyebrow,She raises her eyebrow.
"die Wimper, -n",Sie hat lange Wimpern.,eyelash,She has long eyelashes.